Freq.,V(out5)
1.05848439487514e+003,-1.88995766684375e+001,8.68940488934562e-002
1.05921833468389e+003,-1.88995761125491e+001,8.69542969005826e-002
1.05995278339729e+003,-1.88995755558897e+001,8.70145866761867e-002
1.06068774136823e+003,-1.88995749984581e+001,8.70749182492314e-002
1.06142320894980e+003,-1.88995744402532e+001,8.71352916486686e-002
1.06215918649538e+003,-1.88995738812741e+001,8.71957069034651e-002
1.06289567435856e+003,-1.88995733215195e+001,8.72561640426630e-002
1.06363267289320e+003,-1.88995727609885e+001,8.73166630952819e-002
1.06437018245337e+003,-1.88995721996799e+001,8.73772040903437e-002
1.06510820339343e+003,-1.88995716375927e+001,8.74377870569301e-002
1.06584673606795e+003,-1.88995710747258e+001,8.74984120241481e-002
1.06658578083178e+003,-1.88995705110782e+001,8.75590790211081e-002
1.06732533803997e+003,-1.88995699466486e+001,8.76197880768910e-002
1.06806540804786e+003,-1.88995693814362e+001,8.76805392206989e-002
1.06880599121102e+003,-1.88995688154396e+001,8.77413324816853e-002
1.06954708788526e+003,-1.88995682486580e+001,8.78021678890213e-002
1.07028869842664e+003,-1.88995676810902e+001,8.78630454719380e-002
1.07103082319147e+003,-1.88995671127350e+001,8.79239652596392e-002
1.07177346253631e+003,-1.88995665435915e+001,8.79849272814159e-002
1.07251661681795e+003,-1.88995659736584e+001,8.80459315665192e-002
1.07326028639347e+003,-1.88995654029348e+001,8.81069781442134e-002
1.07400447162014e+003,-1.88995648314195e+001,8.81680670438366e-002
1.07474917285551e+003,-1.88995642591115e+001,8.82291982946935e-002
1.07549439045739e+003,-1.88995636860095e+001,8.82903719261872e-002
1.07624012478381e+003,-1.88995631121126e+001,8.83515879676479e-002
1.07698637619306e+003,-1.88995625374196e+001,8.84128464484728e-002
1.07773314504368e+003,-1.88995619619294e+001,8.84741473980915e-002
1.07848043169447e+003,-1.88995613856409e+001,8.85354908458853e-002
1.07922823650444e+003,-1.88995608085530e+001,8.85968768213773e-002
1.07997655983290e+003,-1.88995602306647e+001,8.86583053539884e-002
1.08072540203937e+003,-1.88995596519746e+001,8.87197764732521e-002
1.08147476348363e+003,-1.88995590724819e+001,8.87812902086536e-002
1.08222464452573e+003,-1.88995584921853e+001,8.88428465897395e-002
1.08297504552594e+003,-1.88995579110838e+001,8.89044456460623e-002
1.08372596684479e+003,-1.88995573291762e+001,8.89660874072026e-002
1.08447740884308e+003,-1.88995567464614e+001,8.90277719027323e-002
1.08522937188182e+003,-1.88995561629383e+001,8.90894991622884e-002
1.08598185632231e+003,-1.88995555786058e+001,8.91512692155351e-002
1.08673486252607e+003,-1.88995549934627e+001,8.92130820920693e-002
1.08748839085490e+003,-1.88995544075079e+001,8.92749378216116e-002
1.08824244167082e+003,-1.88995538207403e+001,8.93368364338622e-002
1.08899701533612e+003,-1.88995532331588e+001,8.93987779585035e-002
1.08975211221334e+003,-1.88995526447623e+001,8.94607624253167e-002
1.09050773266527e+003,-1.88995520555495e+001,8.95227898640456e-002
1.09126387705495e+003,-1.88995514655194e+001,8.95848603044618e-002
1.09202054574567e+003,-1.88995508746709e+001,8.96469737763778e-002
1.09277773910097e+003,-1.88995502830027e+001,8.97091303096271e-002
1.09353545748465e+003,-1.88995496905138e+001,8.97713299340146e-002
1.09429370126076e+003,-1.88995490972031e+001,8.98335726794159e-002
1.09505247079359e+003,-1.88995485030694e+001,8.98958585757636e-002
1.09581176644771e+003,-1.88995479081115e+001,8.99581876529181e-002
1.09657158858791e+003,-1.88995473123283e+001,9.00205599408108e-002
1.09733193757926e+003,-1.88995467157187e+001,9.00829754693745e-002
1.09809281378707e+003,-1.88995461182814e+001,9.01454342685989e-002
1.09885421757690e+003,-1.88995455200155e+001,9.02079363684771e-002
1.09961614931457e+003,-1.88995449209197e+001,9.02704817990183e-002
1.10037860936615e+003,-1.88995443209928e+001,9.03330705902104e-002
1.10114159809798e+003,-1.88995437202338e+001,9.03957027721381e-002
1.10190511587663e+003,-1.88995431186414e+001,9.04583783748701e-002
1.10266916306893e+003,-1.88995425162145e+001,9.05210974284681e-002
1.10343374004198e+003,-1.88995419129520e+001,9.05838599631119e-002
1.10419884716311e+003,-1.88995413088527e+001,9.06466660088837e-002
1.10496448479993e+003,-1.88995407039153e+001,9.07095155959221e-002
1.10573065332029e+003,-1.88995400981389e+001,9.07724087544343e-002
1.10649735309229e+003,-1.88995394915222e+001,9.08353455146446e-002
1.10726458448430e+003,-1.88995388840640e+001,9.08983259066958e-002
1.10803234786494e+003,-1.88995382757631e+001,9.09613499608736e-002
1.10880064360309e+003,-1.88995376666185e+001,9.10244177074430e-002
1.10956947206786e+003,-1.88995370566289e+001,9.10875291766632e-002
1.11033883362866e+003,-1.88995364457931e+001,9.11506843988315e-002
1.11110872865511e+003,-1.88995358341100e+001,9.12138834042749e-002
1.11187915751713e+003,-1.88995352215785e+001,9.12771262233539e-002
1.11265012058485e+003,-1.88995346081973e+001,9.13404128864021e-002
1.11342161822871e+003,-1.88995339939652e+001,9.14037434238451e-002
1.11419365081935e+003,-1.88995333788811e+001,9.14671178660287e-002
1.11496621872772e+003,-1.88995327629438e+001,9.15305362434083e-002
1.11573932232498e+003,-1.88995321461521e+001,9.15939985864668e-002
1.11651296198259e+003,-1.88995315285048e+001,9.16575049256410e-002
1.11728713807224e+003,-1.88995309100007e+001,9.17210552914267e-002
1.11806185096588e+003,-1.88995302906388e+001,9.17846497143158e-002
1.11883710103573e+003,-1.88995296704176e+001,9.18482882248626e-002
1.11961288865426e+003,-1.88995290493362e+001,9.19119708536204e-002
1.12038921419420e+003,-1.88995284273932e+001,9.19756976311334e-002
1.12116607802853e+003,-1.88995278045874e+001,9.20394685880475e-002
1.12194348053051e+003,-1.88995271809178e+001,9.21032837549544e-002
1.12272142207363e+003,-1.88995265563830e+001,9.21671431624749e-002
1.12349990303167e+003,-1.88995259309820e+001,9.22310468412895e-002
1.12427892377864e+003,-1.88995253047134e+001,9.22949948220744e-002
1.12505848468883e+003,-1.88995246775761e+001,9.23589871355569e-002
1.12583858613678e+003,-1.88995240495688e+001,9.24230238123893e-002
1.12661922849730e+003,-1.88995234206905e+001,9.24871048833931e-002
1.12740041214544e+003,-1.88995227909397e+001,9.25512303792775e-002
1.12818213745653e+003,-1.88995221603155e+001,9.26154003308633e-002
1.12896440480615e+003,-1.88995215288164e+001,9.26796147689652e-002
1.12974721457015e+003,-1.88995208964414e+001,9.27438737243842e-002
1.13053056712461e+003,-1.88995202631892e+001,9.28081772279692e-002
1.13131446284592e+003,-1.88995196290586e+001,9.28725253106002e-002
1.13209890211070e+003,-1.88995189940484e+001,9.29369180032042e-002
1.13288388529582e+003,-1.88995183581573e+001,9.30013553366359e-002
1.13366941277844e+003,-1.88995177213842e+001,9.30658373418698e-002
1.13445548493598e+003,-1.88995170837277e+001,9.31303640498625e-002
1.13524210214609e+003,-1.88995164451868e+001,9.31949354915958e-002
1.13602926478671e+003,-1.88995158057601e+001,9.32595516980661e-002
1.13681697323604e+003,-1.88995151654464e+001,9.33242127002672e-002
1.13760522787253e+003,-1.88995145242446e+001,9.33889185293092e-002
1.13839402907490e+003,-1.88995138821532e+001,9.34536692161954e-002
1.13918337722214e+003,-1.88995132391713e+001,9.35184647920226e-002
1.13997327269348e+003,-1.88995125952974e+001,9.35833052879037e-002
1.14076371586845e+003,-1.88995119505304e+001,9.36481907349846e-002
1.14155470712680e+003,-1.88995113048690e+001,9.37131211643888e-002
1.14234624684857e+003,-1.88995106583120e+001,9.37780966073317e-002
1.14313833541406e+003,-1.88995100108581e+001,9.38431170949525e-002
1.14393097320383e+003,-1.88995093625061e+001,9.39081826585166e-002
1.14472416059871e+003,-1.88995087132547e+001,9.39732933292387e-002
1.14551789797978e+003,-1.88995080631028e+001,9.40384491383632e-002
1.14631218572840e+003,-1.88995074120490e+001,9.41036501171962e-002
1.14710702422619e+003,-1.88995067600921e+001,9.41688962970265e-002
1.14790241385503e+003,-1.88995061072309e+001,9.42341877091961e-002
1.14869835499706e+003,-1.88995054534641e+001,9.42995243850223e-002
1.14949484803470e+003,-1.88995047987903e+001,9.43649063558668e-002
1.15029189335063e+003,-1.88995041432085e+001,9.44303336531867e-002
1.15108949132779e+003,-1.88995034867173e+001,9.44958063083354e-002
1.15188764234938e+003,-1.88995028293155e+001,9.45613243527217e-002
1.15268634679889e+003,-1.88995021710017e+001,9.46268878178671e-002
1.15348560506005e+003,-1.88995015117748e+001,9.46924967352065e-002
1.15428541751686e+003,-1.88995008516334e+001,9.47581511362453e-002
1.15508578455361e+003,-1.88995001905764e+001,9.48238510524882e-002
1.15588670655483e+003,-1.88994995286023e+001,9.48895965154965e-002
1.15668818390531e+003,-1.88994988657101e+001,9.49553875568435e-002
1.15749021699015e+003,-1.88994982018983e+001,9.50212242081026e-002
1.15829280619467e+003,-1.88994975371657e+001,9.50871065008468e-002
1.15909595190448e+003,-1.88994968715110e+001,9.51530344667336e-002
1.15989965450546e+003,-1.88994962049330e+001,9.52190081374543e-002
1.16070391438375e+003,-1.88994955374303e+001,9.52850275446386e-002
1.16150873192575e+003,-1.88994948690018e+001,9.53510927199644e-002
1.16231410751815e+003,-1.88994941996460e+001,9.54172036951892e-002
1.16312004154788e+003,-1.88994935293618e+001,9.54833605020339e-002
1.16392653440216e+003,-1.88994928581478e+001,9.55495631722411e-002
1.16473358646848e+003,-1.88994921860027e+001,9.56158117376417e-002
1.16554119813459e+003,-1.88994915129253e+001,9.56821062299804e-002
1.16634936978850e+003,-1.88994908389142e+001,9.57484466811020e-002
1.16715810181850e+003,-1.88994901639682e+001,9.58148331228827e-002
1.16796739461315e+003,-1.88994894880859e+001,9.58812655871725e-002
1.16877724856127e+003,-1.88994888112661e+001,9.59477441058724e-002
1.16958766405198e+003,-1.88994881335075e+001,9.60142687108835e-002
1.17039864147462e+003,-1.88994874548087e+001,9.60808394341581e-002
1.17121018121884e+003,-1.88994867751685e+001,9.61474563076505e-002
1.17202228367454e+003,-1.88994860945855e+001,9.62141193633114e-002
1.17283494923191e+003,-1.88994854130585e+001,9.62808286332008e-002
1.17364817828138e+003,-1.88994847305862e+001,9.63475841493242e-002
1.17446197121368e+003,-1.88994840471671e+001,9.64143859437017e-002
1.17527632841980e+003,-1.88994833628000e+001,9.64812340484386e-002
1.17609125029100e+003,-1.88994826774837e+001,9.65481284955851e-002
1.17690673721880e+003,-1.88994819912167e+001,9.66150693172959e-002
1.17772278959501e+003,-1.88994813039978e+001,9.66820565456777e-002
1.17853940781171e+003,-1.88994806158256e+001,9.67490902129214e-002
1.17935659226125e+003,-1.88994799266989e+001,9.68161703511893e-002
1.18017434333623e+003,-1.88994792366162e+001,9.68832969926689e-002
1.18099266142956e+003,-1.88994785455763e+001,9.69504701696169e-002
1.18181154693440e+003,-1.88994778535778e+001,9.70176899142303e-002
1.18263100024417e+003,-1.88994771606195e+001,9.70849562588536e-002
1.18345102175260e+003,-1.88994764666999e+001,9.71522692356965e-002
1.18427161185366e+003,-1.88994757718178e+001,9.72196288771564e-002
1.18509277094161e+003,-1.88994750759718e+001,9.72870352155147e-002
1.18591449941098e+003,-1.88994743791605e+001,9.73544882831391e-002
1.18673679765656e+003,-1.88994736813827e+001,9.74219881124416e-002
1.18755966607344e+003,-1.88994729826370e+001,9.74895347357798e-002
1.18838310505696e+003,-1.88994722829221e+001,9.75571281856497e-002
1.18920711500275e+003,-1.88994715822365e+001,9.76247684944195e-002
1.19003169630671e+003,-1.88994708805790e+001,9.76924556945940e-002
1.19085684936500e+003,-1.88994701779482e+001,9.77601898186707e-002
1.19168257457408e+003,-1.88994694743428e+001,9.78279708991762e-002
1.19250887233067e+003,-1.88994687697614e+001,9.78957989686282e-002
1.19333574303176e+003,-1.88994680642027e+001,9.79636740595941e-002
1.19416318707462e+003,-1.88994673576652e+001,9.80315962046686e-002
1.19499120485682e+003,-1.88994666501477e+001,9.80995654364775e-002
1.19581979677616e+003,-1.88994659416488e+001,9.81675817875850e-002
1.19664896323075e+003,-1.88994652321671e+001,9.82356452907082e-002
1.19747870461896e+003,-1.88994645217013e+001,9.83037559784903e-002
1.19830902133945e+003,-1.88994638102500e+001,9.83719138836320e-002
1.19913991379115e+003,-1.88994630978118e+001,9.84401190388790e-002
1.19997138237325e+003,-1.88994623843853e+001,9.85083714769194e-002
1.20080342748524e+003,-1.88994616699693e+001,9.85766712305614e-002
1.20163604952689e+003,-1.88994609545623e+001,9.86450183325712e-002
1.20246924889821e+003,-1.88994602381629e+001,9.87134128157755e-002
1.20330302599954e+003,-1.88994595207698e+001,9.87818547130000e-002
1.20413738123145e+003,-1.88994588023815e+001,9.88503440570772e-002
1.20497231499482e+003,-1.88994580829968e+001,9.89188808809355e-002
1.20580782769080e+003,-1.88994573626142e+001,9.89874652174445e-002
1.20664391972080e+003,-1.88994566412323e+001,9.90560970995229e-002
1.20748059148653e+003,-1.88994559188498e+001,9.91247765601288e-002
1.20831784338998e+003,-1.88994551954653e+001,9.91935036322487e-002
1.20915567583340e+003,-1.88994544710773e+001,9.92622783488287e-002
1.20999408921933e+003,-1.88994537456845e+001,9.93311007429258e-002
1.21083308395059e+003,-1.88994530192855e+001,9.93999708475817e-002
1.21167266043028e+003,-1.88994522918790e+001,9.94688886958204e-002
1.21251281906177e+003,-1.88994515634634e+001,9.95378543207455e-002
1.21335356024873e+003,-1.88994508340374e+001,9.96068677554705e-002
1.21419488439508e+003,-1.88994501035996e+001,9.96759290331318e-002
1.21503679190505e+003,-1.88994493721486e+001,9.97450381868621e-002
1.21587928318313e+003,-1.88994486396830e+001,9.98141952498424e-002
1.21672235863411e+003,-1.88994479062014e+001,9.98834002552597e-002
1.21756601866302e+003,-1.88994471717024e+001,9.99526532363415e-002
1.21841026367523e+003,-1.88994464361845e+001,1.00021954226345e-001
1.21925509407634e+003,-1.88994456996463e+001,1.00091303258540e-001
1.22010051027226e+003,-1.88994449620865e+001,1.00160700366223e-001
1.22094651266917e+003,-1.88994442235037e+001,1.00230145582664e-001
1.22179310167354e+003,-1.88994434838963e+001,1.00299638941225e-001
1.22264027769211e+003,-1.88994427432630e+001,1.00369180475301e-001
1.22348804113191e+003,-1.88994420016023e+001,1.00438770218255e-001
1.22433639240024e+003,-1.88994412589129e+001,1.00508408203444e-001
1.22518533190472e+003,-1.88994405151933e+001,1.00578094464330e-001
1.22603486005320e+003,-1.88994397704420e+001,1.00647829034396e-001
1.22688497725384e+003,-1.88994390246577e+001,1.00717611947068e-001
1.22773568391510e+003,-1.88994382778389e+001,1.00787443235869e-001
1.22858698044569e+003,-1.88994375299842e+001,1.00857322934335e-001
1.22943886725462e+003,-1.88994367810921e+001,1.00927251075978e-001
1.23029134475119e+003,-1.88994360311612e+001,1.00997227694401e-001
1.23114441334496e+003,-1.88994352801901e+001,1.01067252823175e-001
1.23199807344580e+003,-1.88994345281773e+001,1.01137326495907e-001
1.23285232546385e+003,-1.88994337751214e+001,1.01207448746227e-001
1.23370716980954e+003,-1.88994330210209e+001,1.01277619607830e-001
1.23456260689358e+003,-1.88994322658743e+001,1.01347839114397e-001
1.23541863712697e+003,-1.88994315096803e+001,1.01418107299606e-001
1.23627526092099e+003,-1.88994307524374e+001,1.01488424197222e-001
1.23713247868721e+003,-1.88994299941441e+001,1.01558789840944e-001
1.23799029083749e+003,-1.88994292347989e+001,1.01629204264604e-001
1.23884869778395e+003,-1.88994284744004e+001,1.01699667501992e-001
1.23970769993903e+003,-1.88994277129472e+001,1.01770179586926e-001
1.24056729771543e+003,-1.88994269504378e+001,1.01840740553256e-001
1.24142749152616e+003,-1.88994261868706e+001,1.01911350434833e-001
1.24228828178448e+003,-1.88994254222444e+001,1.01982009265597e-001
1.24314966890398e+003,-1.88994246565575e+001,1.02052717079426e-001
1.24401165329851e+003,-1.88994238898084e+001,1.02123473910281e-001
1.24487423538221e+003,-1.88994231219959e+001,1.02194279792074e-001
1.24573741556952e+003,-1.88994223531183e+001,1.02265134758893e-001
1.24660119427514e+003,-1.88994215831741e+001,1.02336038844714e-001
1.24746557191409e+003,-1.88994208121620e+001,1.02406992083528e-001
1.24833054890166e+003,-1.88994200400804e+001,1.02477994509411e-001
1.24919612565342e+003,-1.88994192669278e+001,1.02549046156492e-001
1.25006230258525e+003,-1.88994184927028e+001,1.02620147058796e-001
1.25092908011331e+003,-1.88994177174038e+001,1.02691297250526e-001
1.25179645865404e+003,-1.88994169410295e+001,1.02762496765812e-001
1.25266443862417e+003,-1.88994161635781e+001,1.02833745638818e-001
1.25353302044074e+003,-1.88994153850484e+001,1.02905043903747e-001
1.25440220452104e+003,-1.88994146054388e+001,1.02976391594872e-001
1.25527199128269e+003,-1.88994138247478e+001,1.03047788746367e-001
1.25614238114357e+003,-1.88994130429738e+001,1.03119235392535e-001
1.25701337452187e+003,-1.88994122601155e+001,1.03190731567677e-001
1.25788497183606e+003,-1.88994114761713e+001,1.03262277306143e-001
1.25875717350490e+003,-1.88994106911396e+001,1.03333872642215e-001
1.25962997994745e+003,-1.88994099050190e+001,1.03405517610295e-001
1.26050339158303e+003,-1.88994091178080e+001,1.03477212244754e-001
1.26137740883130e+003,-1.88994083295050e+001,1.03548956580043e-001
1.26225203211216e+003,-1.88994075401086e+001,1.03620750650558e-001
1.26312726184585e+003,-1.88994067496171e+001,1.03692594490779e-001
1.26400309845285e+003,-1.88994059580292e+001,1.03764488135190e-001
1.26487954235398e+003,-1.88994051653433e+001,1.03836431618332e-001
1.26575659397033e+003,-1.88994043715578e+001,1.03908424974704e-001
1.26663425372327e+003,-1.88994035766713e+001,1.03980468238859e-001
1.26751252203447e+003,-1.88994027806821e+001,1.04052561445377e-001
1.26839139932592e+003,-1.88994019835889e+001,1.04124704628869e-001
1.26927088601985e+003,-1.88994011853900e+001,1.04196897823990e-001
1.27015098253884e+003,-1.88994003860839e+001,1.04269141065385e-001
1.27103168930572e+003,-1.88993995856691e+001,1.04341434387716e-001
1.27191300674362e+003,-1.88993987841440e+001,1.04413777825691e-001
1.27279493527599e+003,-1.88993979815071e+001,1.04486171414005e-001
1.27367747532655e+003,-1.88993971777569e+001,1.04558615187464e-001
1.27456062731931e+003,-1.88993963728918e+001,1.04631109180796e-001
1.27544439167859e+003,-1.88993955669102e+001,1.04703653428826e-001
1.27632876882900e+003,-1.88993947598107e+001,1.04776247966377e-001
1.27721375919544e+003,-1.88993939515916e+001,1.04848892828259e-001
1.27809936320310e+003,-1.88993931422515e+001,1.04921588049362e-001
1.27898558127748e+003,-1.88993923317887e+001,1.04994333664599e-001
1.27987241384436e+003,-1.88993915202017e+001,1.05067129708859e-001
1.28075986132982e+003,-1.88993907074890e+001,1.05139976217159e-001
1.28164792416024e+003,-1.88993898936489e+001,1.05212873224339e-001
1.28253660276230e+003,-1.88993890786800e+001,1.05285820765477e-001
1.28342589756296e+003,-1.88993882625806e+001,1.05358818875551e-001
1.28431580898948e+003,-1.88993874453492e+001,1.05431867589619e-001
1.28520633746942e+003,-1.88993866269843e+001,1.05504966942738e-001
1.28609748343066e+003,-1.88993858074841e+001,1.05578116970025e-001
1.28698924730132e+003,-1.88993849868473e+001,1.05651317706536e-001
1.28788162950988e+003,-1.88993841650721e+001,1.05724569187441e-001
1.28877463048507e+003,-1.88993833421570e+001,1.05797871447885e-001
1.28966825065594e+003,-1.88993825181005e+001,1.05871224523080e-001
1.29056249045183e+003,-1.88993816929009e+001,1.05944628448199e-001
1.29145735030239e+003,-1.88993808665567e+001,1.06018083258493e-001
1.29235283063755e+003,-1.88993800390662e+001,1.06091588989218e-001
1.29324893188754e+003,-1.88993792104280e+001,1.06165145675703e-001
1.29414565448291e+003,-1.88993783806403e+001,1.06238753353184e-001
1.29504299885448e+003,-1.88993775497016e+001,1.06312412056992e-001
1.29594096543339e+003,-1.88993767176104e+001,1.06386121822528e-001
1.29683955465106e+003,-1.88993758843649e+001,1.06459882685157e-001
1.29773876693924e+003,-1.88993750499637e+001,1.06533694680287e-001
1.29863860272994e+003,-1.88993742144050e+001,1.06607557843291e-001
1.29953906245549e+003,-1.88993733776874e+001,1.06681472209694e-001
1.30044014654854e+003,-1.88993725398091e+001,1.06755437814985e-001
1.30134185544199e+003,-1.88993717007687e+001,1.06829454694603e-001
1.30224418956908e+003,-1.88993708605643e+001,1.06903522884111e-001
1.30314714936335e+003,-1.88993700191946e+001,1.06977642419044e-001
1.30405073525862e+003,-1.88993691766578e+001,1.07051813334986e-001
1.30495494768901e+003,-1.88993683329523e+001,1.07126035667553e-001
1.30585978708897e+003,-1.88993674880765e+001,1.07200309452356e-001
1.30676525389323e+003,-1.88993666420287e+001,1.07274634725039e-001
1.30767134853682e+003,-1.88993657948074e+001,1.07349011521268e-001
1.30857807145507e+003,-1.88993649464110e+001,1.07423439876764e-001
1.30948542308362e+003,-1.88993640968377e+001,1.07497919827246e-001
1.31039340385842e+003,-1.88993632460860e+001,1.07572451408502e-001
1.31130201421570e+003,-1.88993623941542e+001,1.07647034656215e-001
1.31221125459202e+003,-1.88993615410407e+001,1.07721669606257e-001
1.31312112542421e+003,-1.88993606867438e+001,1.07796356294434e-001
1.31403162714943e+003,-1.88993598312620e+001,1.07871094756569e-001
1.31494276020513e+003,-1.88993589745935e+001,1.07945885028563e-001
1.31585452502907e+003,-1.88993581167367e+001,1.08020727146300e-001
1.31676692205930e+003,-1.88993572576900e+001,1.08095621145722e-001
1.31767995173420e+003,-1.88993563974518e+001,1.08170567062748e-001
1.31859361449243e+003,-1.88993555360203e+001,1.08245564933369e-001
1.31950791077295e+003,-1.88993546733939e+001,1.08320614793564e-001
1.32042284101506e+003,-1.88993538095709e+001,1.08395716679360e-001
1.32133840565832e+003,-1.88993529445498e+001,1.08470870626840e-001
1.32225460514263e+003,-1.88993520783288e+001,1.08546076672039e-001
1.32317143990818e+003,-1.88993512109062e+001,1.08621334851042e-001
1.32408891039546e+003,-1.88993503422805e+001,1.08696645200002e-001
1.32500701704527e+003,-1.88993494724499e+001,1.08772007755076e-001
1.32592576029872e+003,-1.88993486014128e+001,1.08847422552382e-001
1.32684514059722e+003,-1.88993477291674e+001,1.08922889628158e-001
1.32776515838250e+003,-1.88993468557122e+001,1.08998409018612e-001
1.32868581409657e+003,-1.88993459810454e+001,1.09073980760004e-001
